typ,typ_label,name,address,lat,lng,wertstoffinsel_glas,wertstoffinsel_kleider,wertstoffinsel_papier,google_maps_url
5.0,Wertstoffinsel,Heisterweg Wennigsen / Wennigsen - Ecke Werner-von-Siemens-Str.,"Heisterweg , Wennigsen / Wennigsen",52.279605112042,9.5710497321691,True,False,True,"https://www.google.com/maps?q=52.279605112042,9.5710497321691"
5.0,Wertstoffinsel,Am Waldwinkel Wennigsen / Wennigser Mark - Neue Kohlenstraße / Wanderparkplatz,"Am Waldwinkel , Wennigsen / Wennigser Mark",52.274060925933,9.5156800259915,True,False,True,"https://www.google.com/maps?q=52.274060925933,9.5156800259915"
5.0,Wertstoffinsel,Am Bruche Wunstorf / Blumenau - Ecke Leinechaussee,"Am Bruche , Wunstorf / Blumenau",52.432184427619,9.4523639654537,True,False,False,"https://www.google.com/maps?q=52.432184427619,9.4523639654537"
5.0,Wertstoffinsel,Am Bruche Ecke Leinechaussee Wunstorf / Blumenau - Garagenhof,"Am Bruche Ecke Leinechaussee , Wunstorf / Blumenau",52.432195160844,9.4519081052385,True,False,True,"https://www.google.com/maps?q=52.432195160844,9.4519081052385"
5.0,Wertstoffinsel,Alte Dorfstr Wunstorf / Bokeloh - höhe Alter Damm,"Alte Dorfstr , Wunstorf / Bokeloh",52.411064668732,9.3813446407786,True,False,True,"https://www.google.com/maps?q=52.411064668732,9.3813446407786"
5.0,Wertstoffinsel,Am Schützenplatz Wunstorf / Bokeloh - Ecke Schaumburger Str.,"Am Schützenplatz , Wunstorf / Bokeloh",52.417915554802,9.3784776572647,True,False,True,"https://www.google.com/maps?q=52.417915554802,9.3784776572647"
5.0,Wertstoffinsel,Hattorfstr. Wunstorf / Bokeloh - ggü. Hausnummer 19,"Hattorfstr. , Wunstorf / Bokeloh",52.42141846248,9.3878306811254,True,False,True,"https://www.google.com/maps?q=52.42141846248,9.3878306811254"
5.0,Wertstoffinsel,Sigmundshaller Str. Ecke Stein Wunstorf / Bokeloh - Parkplatz,"Sigmundshaller Str. Ecke Stein , Wunstorf / Bokeloh",52.420542036862,9.3752503859407,True,False,True,"https://www.google.com/maps?q=52.420542036862,9.3752503859407"
5.0,Wertstoffinsel,Am Bahnhof Wunstorf / Großenheidorn - Ecke an der Mehrzweckhalle,"Am Bahnhof , Wunstorf / Großenheidorn",52.456408387788,9.3852241027356,True,False,True,"https://www.google.com/maps?q=52.456408387788,9.3852241027356"
5.0,Wertstoffinsel,Brahmsstr. Wunstorf / Großenheidorn - Ecke Wagnerstr.,"Brahmsstr. , Wunstorf / Großenheidorn",52.460583668652,9.4003319222637,True,False,True,"https://www.google.com/maps?q=52.460583668652,9.4003319222637"
